stock_id,mean,std,count
153,-0.5687049348870161,14.081303731868834,22605
110,-0.5248751230406351,6.416164518105184,26455
147,-0.478601237214742,9.525941845957549,26455
25,-0.39934238063866945,6.993075756430651,26455
66,-0.3952125034762805,7.675980045460565,26455
36,-0.38367047025764506,7.899758534974054,26455
38,-0.37449455415135136,6.8859423508831235,26455
117,-0.34647365553396337,7.540425191865173,26455
28,-0.3362873786289926,8.942814706098595,26455
198,-0.3239230475357399,5.956440375201144,26455
44,-0.3233906505003969,6.771310316916066,26455
181,-0.31688550970262713,7.452235587005588,26455
152,-0.3060877535073521,8.245575748880276,26455
137,-0.3044033205157437,7.861020885709274,26455
143,-0.29856941102623324,12.530874836506689,26455
24,-0.29677894998813076,5.79943362906944,26455
136,-0.29635762905212626,8.386788752793846,26455
146,-0.28469097808512567,9.260025317024944,26455
166,-0.2803689405840484,6.547855101101124,26455
121,-0.2762228408091854,6.635046678878433,26455
84,-0.27412132420767343,5.417008046491982,26455
164,-0.2722107071032697,5.651976959543258,26455
134,-0.27118948591056513,9.201539482562527,26455
105,-0.2705724634936685,5.26753216580859,26455
52,-0.2679573629598942,7.475519958023959,26455
0,-0.2610076468874315,6.054233843264237,26455
195,-0.2603263255002835,6.1442104507742314,26455
114,-0.25953993726271024,9.537621394958416,26455
148,-0.25895603559175956,6.247372432399638,26455
97,-0.257795079782423,9.836349273957122,26455
85,-0.2505170735094689,16.1710421344232,26455
139,-0.24150637469877148,8.145336402675259,26455
10,-0.24105727097274615,6.1580370661574255,26455
119,-0.2302632098804763,10.287822843867183,26455
109,-0.22705266970198448,6.076808054237397,26455
65,-0.22426741797376676,6.817107769878748,26455
4,-0.2239071752041202,5.927555449867844,26455
167,-0.22080750903360424,7.326020382377283,26455
90,-0.21786422577595918,7.553471780683838,26455
171,-0.2096019249018711,6.442181096092438,26455
175,-0.20940065983008882,5.46188485791426,26455
116,-0.20607681643046682,6.699302681109411,26455
63,-0.2052229484040824,6.310091964281249,26455
124,-0.20250927580850503,10.511943151192558,26455
72,-0.196176245593952,6.445887958466243,26455
179,-0.19519269637543,6.321474957662384,26455
21,-0.19406213628285768,6.415019627213116,26455
30,-0.19312815189778867,6.842796364873511,26455
133,-0.19062329306804005,6.590058290663135,26455
37,-0.18844634329654128,5.445836745388262,26455
9,-0.18652358394602156,6.860723091375744,26455
68,-0.18545687284467963,5.5121567280048795,26455
27,-0.18536907050584012,7.850431247534534,26455
35,-0.18491584505900588,6.107754200705441,26455
163,-0.1848777249145719,5.340929825431103,26455
130,-0.18329583004611605,4.997083736430771,26455
165,-0.18319633783288605,8.23386971447445,26455
187,-0.18005039093139294,5.997997154265587,26455
53,-0.16789020957240597,6.210939808033031,26455
34,-0.16709794513282933,8.296940208907383,26455
155,-0.16612216734511437,11.131718463328149,26455
39,-0.16482343906675487,6.265772693544169,26455
149,-0.16218260645462107,6.091547267419682,26455
144,-0.15951000508901908,6.283074340979859,26455
8,-0.15882119995702138,8.477881952817926,26455
73,-0.15801518934481062,7.748745377641911,26400
186,-0.15596781705670004,5.774504890686798,26455
104,-0.1520144661942166,6.0343363454819725,26455
150,-0.15176652460947868,8.837879263829668,23210
189,-0.1467085373922888,7.333197737547648,26455
160,-0.14606560425322246,5.193112921426812,26455
49,-0.1436437463976564,6.929724747726267,26455
172,-0.14323675780457382,13.428941682187014,26455
140,-0.14308287167548667,5.666605581555583,26455
32,-0.14032084864449065,6.438241079296102,26455
3,-0.13796277506414667,5.268299476351964,26455
64,-0.13591476790659612,9.628744321947512,26455
151,-0.13517060544672085,5.233814047057211,26455
81,-0.1351431216010206,10.191349702803006,26455
77,-0.1318592174149688,7.325068327791745,26455
43,-0.13024465744777924,7.599644036956316,26455
16,-0.12835591546709507,8.765285877590243,26455
20,-0.1236792241982612,7.570276016185487,26455
89,-0.1235036879131733,10.394518929876924,26455
128,-0.1216343003959554,7.346878428926214,26455
1,-0.11988721203058024,11.585557597117145,26455
