seconds_in_bucket,mean,std,count
0,-0.0820554547749076,11.59521713406137,95232
10,0.049152731544238396,9.712804170155728,95234
20,0.10108953682768759,9.25188967391984,95234
30,0.1306386608996367,9.137478440416137,95234
40,0.17269674419254677,8.996889969237923,95234
50,0.1616314296300166,9.040893386303308,95234
60,0.17643354738323497,9.095259510363503,95234
70,-0.045115059044794924,8.820211525749821,95234
80,-0.08645183964314215,8.77721521779328,95234
90,-0.10759164191233174,8.82568529514939,95234
100,-0.11259906075320789,8.784552670549198,95234
110,-0.12688603101335658,8.69694450509455,95234
120,-0.16879337301751476,8.914205226456376,95234
130,-0.06750540067686961,9.052503145188219,95234
140,0.0009531953562278117,9.19856706321822,95234
150,0.028822456816032085,9.189704569743249,95234
160,0.009875189755959003,9.253312862182863,95234
170,-0.0003389932400193221,9.23270375240272,95234
180,0.002034741088203795,9.02951736698444,95234
190,-0.009049463163450028,8.588075314637871,95234
200,-0.03770740213096163,8.738998149331472,95234
210,-0.0813213056722179,9.088794250191887,95234
220,-0.07955767662457736,10.414474555608951,95234
230,-0.04230332818475545,12.037638440571554,95234
240,-0.027861551983577298,13.156356511400801,95234
250,-0.215072598860071,13.218594795407261,95234
260,-0.2335397362096205,13.306034185607198,95234
270,-0.28349561295739967,13.340470131032532,95234
280,-0.3562342631280845,12.723663833249985,95234
290,-0.3446883407391373,12.141877851764653,95234
300,-0.3167762544719168,10.956490739146034,95235
310,-0.05820843172517457,9.308597648775363,95235
320,-0.056985578247325044,8.91957838760809,95235
330,-0.016803572906137453,8.745739636005133,95235
340,0.08223863681176038,8.754769909267258,95235
350,0.05926306926349556,8.788511602448478,95235
360,0.0518141120522077,8.82453188395338,95235
370,0.07329067404573948,8.291300897997397,95235
380,0.04308344013612642,8.170003724592727,95235
390,0.02611839335848165,8.176854663253584,95235
400,-0.05371298978707408,8.150413998446732,95235
410,-0.08990309488460124,8.144886199419078,95235
420,-0.03347287052379903,8.259261166325555,95235
430,-0.06231444016849897,7.78347714697319,95235
440,-0.08111866398489001,7.723549660472539,95235
450,-0.06931975008443324,7.6939607719478165,95235
460,-0.021737455122633486,7.565611734994156,95235
470,-0.01768656099413031,7.508143636227727,95235
480,-0.05623000206397859,7.446704237797576,95235
490,-0.08865081223663569,7.299544006053974,95235
500,-0.04816315151462172,7.774736888342368,95235
510,-0.04633107594026356,8.424176946496182,95235
520,-0.11209440390616895,8.885083907636423,95235
530,-0.07888656645573582,9.523664201656883,95235
540,0.03155624339979419,10.165008048404347,95234
